Entity,RecordId,Error Description, OptionSetValues
Account,2f4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,314a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,334a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,354a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,374a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,394a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3b4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3d4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3f4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,414a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,434a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,454a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,474a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,494a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4d4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4f4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,514a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
